personName,finalWorth,category,age,country,organization
Matthias Reimann-Andersen,5400,Fashion & Retail,58,Germany,
Stefan Reimann-Andersen,5400,Fashion & Retail,59,Austria,
Renate Reimann-Haas,5400,Fashion & Retail,71,Austria,
Todd Boehly,5300,Finance & Investments,49,United States,
Rick Caruso,5300,Real Estate,64,United States,
Ibrahim Erdemoglu,5300,Manufacturing,60,Turkey,
Elizabeth Johnson,5300,Finance & Investments,59,United States,
Douglas Leone,5300,Finance & Investments,65,United States,Sequoia
Prajogo Pangestu,5300,Diversified,78,Indonesia,
Thomas Pritzker,5300,Finance & Investments,72,United States,Hyatt Hotels
Lynda Resnick,5300,Food & Beverage,80,United States,
Stewart Resnick,5300,Food & Beverage,86,United States,
Gary Rollins,5300,Service,78,United States,
Mark Walter,5300,Finance & Investments,62,United States,Guggenheim Partners LLC
Ronald Wanek,5300,Manufacturing,81,United States,
Erich Wesjohann & family,5300,Food & Beverage,77,Germany,
M.A. Yusuff Ali,5300,Fashion & Retail,67,United Arab Emirates,
Alexandre Behring,5200,Finance & Investments,56,United States,
Cheng Xue,5200,Food & Beverage,53,China,
Robert Faith,5200,Real Estate,59,United States,
Gao Dekang & family,5200,Fashion & Retail,71,China,
Micky Jagtiani,5200,Fashion & Retail,71,United Arab Emirates,
Ananda Krishnan,5200,Telecom,85,Malaysia,
Barry Lam,5200,Technology,73,Taiwan,
"Robert Rich, Jr.",5200,Food & Beverage,82,United States,
Mark Scheinberg,5200,Gambling & Casinos,49,United Kingdom,
Charles Simonyi,5200,Technology,74,United States,
Ty Warner,5200,Real Estate,78,United States,
Sam Zell,5200,Real Estate,81,United States,
Fang Wei,5100,Manufacturing,49,China,
Rekha Jhunjhunwala,5100,Finance & Investments,59,India,
Charles B. Johnson,5100,Finance & Investments,90,United States,Franklin Resources Inc.
Kwon Hyuk-bin,5100,Media & Entertainment,49,South Korea,Smilegate Holdings
Sami Mnaymneh,5100,Finance & Investments,61,United States,
Kjell Inge Rokke,5100,Logistics,64,Norway,
Tony Tamer,5100,Finance & Investments,65,United States,
Tse Ping & family,5100,Healthcare,71,Hong Kong,
Romesh T. Wadhwani,5100,Technology,75,United States,Symphony Technology Group
Hansjoerg Wyss,5100,Healthcare,88,United States,
Denise York & family,5100,Sports,72,United States,San Francisco 49ers
Ron Baron,5000,Finance & Investments,79,United States,
Robert Bass,5000,Energy,75,United States,
Dona Bertarelli,5000,Healthcare,55,Switzerland,
Alexander Gerko,5000,Finance & Investments,43,United Kingdom,
Martin Haefner,5000,Technology,69,Switzerland,
"Robert Hale, Jr.",5000,Telecom,56,United States,
Viktor Kharitonin,5000,Healthcare,50,Russia,
Kim Beom-su,5000,Technology,57,South Korea,
Jane Lauder,5000,Fashion & Retail,50,United States,
Michel Leclercq & family,5000,Fashion & Retail,83,France,
George Lucas,5000,Media & Entertainment,78,United States,
Janice McNair,5000,Sports,86,United States,
Ugur Sahin,5000,Healthcare,57,Germany,
Alexandra Schoerghuber & family,5000,Real Estate,64,Germany,
Thomas Straumann,5000,Healthcare,59,Switzerland,
Murat Ulker,5000,Food & Beverage,64,Turkey,
Chip Wilson,5000,Fashion & Retail,66,Canada,Lululemon
Zhu Yan & family,5000,Real Estate,,China,
Jim Davis & family,4900,Manufacturing,79,United States,New Balance
Murali Divi & family,4900,Healthcare,72,India,
Dagmar Dolby & family,4900,Technology,81,United States,
Marcos Galperin,4900,Technology,,Argentina,
Tom Golisano,4900,Service,81,United States,
Jonathan Gray,4900,Finance & Investments,53,United States,
Bidzina Ivanishvili,4900,Finance & Investments,67,Georgia,
Lim Hariyanto Wijaya Sarwono,4900,Metals & Mining,94,Indonesia,
Rudolf Maag,4900,Healthcare,77,Switzerland,
Emanuele (Lino) Saputo & family,4900,Food & Beverage,86,Canada,Saputo
Mark Shoen,4900,Automotive,72,United States,
Dan Snyder,4900,Sports,58,United States,
Chairul Tanjung,4900,Diversified,60,Indonesia,
Kelcy Warren,4900,Energy,67,United States,
Zhang Tao,4900,Fashion & Retail,50,China,
Michael Ashley,4800,Fashion & Retail,58,United Kingdom,
Tomasz Biernacki,4800,Fashion & Retail,50,Poland,
Bernard Broermann,4800,Healthcare,79,Germany,
Jimmy Haslam,4800,Fashion & Retail,69,United States,Pilot Flying J
H. Fisk Johnson,4800,Manufacturing,64,United States,
S. Curtis Johnson,4800,Manufacturing,67,United States,
Helen Johnson-Leipold,4800,Manufacturing,66,United States,
Vinod Khosla,4800,Technology,68,United States,Khosla Ventures
Thai Lee,4800,Technology,64,United States,
Winifred J. Marquart,4800,Manufacturing,63,United States,
Pankaj Patel,4800,Healthcare,70,India,
Horst Julius Pudwill,4800,Manufacturing,78,Hong Kong,
Yu Yong,4800,Finance & Investments,62,China,
Maria Fernanda Amorim & family,4700,Diversified,88,Portugal,
Gayle Benson,4700,Sports,76,United States,
Jason Chang,4700,Technology,78,Taiwan,
Ali Erdemoglu,4700,Manufacturing,63,Turkey,
Andre Esteves,4700,Finance & Investments,54,Brazil,
Carlo Fidani,4700,Real Estate,68,Canada,Orlando Corporation
Hong Ra-hee,4700,Technology,77,South Korea,
Li Gaiteng,4700,Manufacturing,50,China,
Thomas Secunda,4700,Media & Entertainment,68,United States,
Zuowen Song,4700,Diversified,76,China,
Tim Sweeney,4700,Media & Entertainment,52,United States,
Bert Beveridge,4600,Food & Beverage,61,United States,
Mark Cuban,4600,Media & Entertainment,64,United States,Dallas Mavericks
Charles Dolan & family,4600,Media & Entertainment,96,United States,Cablevision Systems Corp.
Jack Dorsey,4600,Technology,46,United States,Twitter
Fan Hongwei,4600,Energy,56,China,
Vladimir Kim,4600,Metals & Mining,62,Kazakhstan,
"Andre Koo, Sr.",4600,Finance & Investments,55,Taiwan,
Ronald Lauder,4600,Fashion & Retail,79,United States,
Li Chunan,4600,Manufacturing,54,China,
Forrest Li,4600,Media & Entertainment,45,Singapore,
Richard Li,4600,Telecom,56,Hong Kong,
Doug Meijer & family,4600,Fashion & Retail,69,United States,
Hank Meijer & family,4600,Fashion & Retail,71,United States,
Mark Meijer & family,4600,Fashion & Retail,65,United States,
Issad Rebrab & family,4600,Food & Beverage,79,Algeria,
Fred Smith,4600,Logistics,78,United States,FedEx Corp.
Barry Sternlicht,4600,Finance & Investments,62,United States,
Maximilian Viessmann,4600,Manufacturing,34,Germany,
Russ Weiner,4600,Food & Beverage,52,United States,
Xue Min,4600,Healthcare,66,China,
Juan Domingo Beckmann Legorreta & family,4500,Food & Beverage,55,Mexico,
Dietmar Hopp & family,4500,Technology,82,Germany,
Jiang Bin,4500,Technology,56,China,
Joseph Liemandt,4500,Technology,54,United States,
Theo Mueller,4500,Food & Beverage,83,Switzerland,
N.R. Narayana Murthy,4500,Technology,76,India,
Odd Reitan & family,4500,Fashion & Retail,71,Norway,
Marc Rowan,4500,Finance & Investments,60,United States,
Hussain Sajwani,4500,Real Estate,70,United Arab Emirates,
David Velez & family,4500,Finance & Investments,41,Brazil,
Xu Jinfu,4500,Manufacturing,59,China,
Samuel Yin,4500,Diversified,72,Taiwan,
You Xiaoping & family,4500,Manufacturing,65,China,
Stéphane Bancel,4400,Healthcare,50,United States,
Margot Birmingham Perot,4400,Technology,89,United States,
Neal Blue & family,4400,Manufacturing,88,United States,
Jim Davis,4400,Service,63,United States,
Rafael Del Pino,4400,Construction & Engineering,64,Spain,
Peter Grogg,4400,Healthcare,81,Switzerland,
Christian Haub,4400,Fashion & Retail,58,Germany,
Mangal Prabhat Lodha,4400,Real Estate,67,India,
Jeffrey Lurie & family,4400,Sports,71,United States,
Joe Mansueto,4400,Finance & Investments,66,United States,Morningstar Inc.
Qian Dongqi & family,4400,Manufacturing,65,China,
Mikhail Shelkov,4400,Metals & Mining,54,Russia,
Patrick Drahi,4300,Telecom,59,Switzerland,
Behdad Eghbali,4300,Finance & Investments,46,United States,
Juan Carlos Escotet,4300,Finance & Investments,63,Spain,
Jose E. Feliciano,4300,Finance & Investments,49,United States,
Hu Kaijun,4300,Healthcare,61,China,
Johnelle Hunt,4300,Logistics,91,United States,
Marian Ilitch,4300,Food & Beverage,90,United States,
Daryl Katz,4300,Diversified,61,Canada,Katz Group
Andrei Kozitsyn,4300,Metals & Mining,62,Russia,
Timur Kulibaev,4300,Finance & Investments,56,Kazakhstan,
Dinara Kulibaeva,4300,Finance & Investments,55,Kazakhstan,
Ian Livingstone,4300,Real Estate,60,,
Richard Livingstone,4300,Real Estate,58,,
Gwendolyn Sontheim Meyer,4300,Food & Beverage,61,United States,
Jay Paul,4300,Real Estate,75,United States,
Pham Nhat Vuong,4300,Diversified,54,Vietnam,
Jon Stryker,4300,Healthcare,64,United States,
Daniel Tsai,4300,Finance & Investments,66,Taiwan,
Richard Tsai,4300,Finance & Investments,65,Taiwan,
Frank Wang,4300,Technology,42,China,DJI Technology Co.
Wang Junshi & family,4300,Manufacturing,74,China,
Wang Wenjing,4300,Technology,58,China,
Herbert Wertheim,4300,Finance & Investments,83,United States,
Shari Arison,4200,Service,65,Israel,
Pyotr Aven,4200,Finance & Investments,68,Latvia,
Chan Laiwa & family,4200,Real Estate,82,China,
Chen Hua,4200,Real Estate,57,China,
Thomas Hagen,4200,Finance & Investments,87,United States,
"Rupert Johnson, Jr.",4200,Finance & Investments,82,United States,Franklin Resources Inc.
Dewi Kam,4200,Energy,72,Indonesia,
Min Kao & family,4200,Technology,74,United States,
Marc Ladreit de Lacharriere,4200,Finance & Investments,82,France,
Eric Lefkofsky,4200,Technology,53,United States,Groupon
Lin Bin,4200,Technology,55,China,
Lin Li,4200,Finance & Investments,59,China,
Michael Moritz,4200,Technology,68,United States,Sequoia
Jean (Gigi) Pritzker,4200,Service,60,United States,
E. Joe Shoen,4200,Automotive,73,United States,
Jeff Skoll,4200,Technology,58,United States,
Lynsi Snyder,4200,Food & Beverage,40,United States,
Djoko Susanto,4200,Fashion & Retail,73,Indonesia,
Tahir & family,4200,Diversified,71,Indonesia,
Peter Thiel,4200,Finance & Investments,55,United States,Founders Fund
Andrej Babis,4100,Food & Beverage,68,Czech Republic,
Danielle Bellon & family,4100,Service,83,France,
Hubert Burda,4100,Media & Entertainment,83,Germany,
Nick Caporella,4100,Food & Beverage,87,United States,
John Catsimatidis,4100,Energy,74,United States,
Scott Cook,4100,Technology,70,United States,
Luca Garavoglia,4100,Food & Beverage,54,Italy,
Antti Herlin,4100,Manufacturing,66,Finland,
Hong Jie,4100,Manufacturing,55,China,
"Jeremy Jacobs, Sr. & family",4100,Service,83,United States,
Igor Kesaev,4100,Fashion & Retail,56,Russia,
Mary Alice Dorrance Malone,4100,Food & Beverage,73,United States,
Joao Moreira Salles,4100,Diversified,61,Brazil,
Walther Moreira Salles Junior,4100,Finance & Investments,66,Brazil,
Arturo Moreno,4100,Sports,76,United States,
Peter Spuhler,4100,Manufacturing,63,Switzerland,
Donald Sterling,4100,Real Estate,88,United States,
Kerry Stokes,4100,Diversified,82,Australia,
Ken Xie,4100,Technology,60,United States,
Liangzhi Xie & family,4100,Healthcare,57,China,
Sid Bass,4000,Energy,80,United States,
Ben Chestnut,4000,Technology,48,United States,
Elisabeth DeLuca & family,4000,Food & Beverage,75,United States,
Guangchang Guo,4000,Diversified,56,China,
Vinod Rai Gupta,4000,Manufacturing,77,India,
John Henry,4000,Sports,73,United States,
Travis Kalanick,4000,Technology,46,United States,Uber Technologies Inc.
Koon Poh Keong,4000,Manufacturing,61,Malaysia,
Dan Kurzius,4000,Technology,51,United States,
Paul Lee,4000,Manufacturing,65,China,
Tobi Lutke,4000,Technology,42,Canada,
Gail Miller,4000,Automotive,79,United States,
Rajan Mittal,4000,Telecom,63,India,
Rakesh Mittal,4000,Telecom,67,India,
Isaac Perlmutter,4000,Media & Entertainment,80,United States,Marvel Entertainment
"Bernard Saul, II.",4000,Finance & Investments,90,United States,Saul Centers
Shaul Shani,4000,Telecom,68,Italy,
Steven Spielberg,4000,Media & Entertainment,76,United States,
Jerzy Starak,4000,Healthcare,75,Poland,
Torbjorn Tornqvist,4000,Energy,69,Switzerland,
Rufino Vigil Gonzalez,4000,Metals & Mining,74,Mexico,
Zhang Daocai,4000,Diversified,73,China,
Juergen Blickle,3900,Manufacturing,76,Germany,
"Austen Cargill, II.",3900,Food & Beverage,72,United States,
"James Cargill, II.",3900,Food & Beverage,73,United States,
Vanich Chaiyawan,3900,Finance & Investments,91,Thailand,
Chen Dongsheng,3900,Finance & Investments,65,China,
Mong-Koo Chung,3900,Automotive,85,South Korea,
Kenneth Dart,3900,Finance & Investments,67,Cayman Islands,
Giuseppe De'Longhi & family,3900,Fashion & Retail,83,Italy,
Guenther Fielmann & family,3900,Healthcare,83,Germany,
W. Herbert Hunt,3900,Energy,94,United States,
James Irsay,3900,Sports,63,United States,Indianapolis Colts
Somurai Jaruphnit,3900,Diversified,,Thailand,
Marianne Liebmann,3900,Food & Beverage,69,United States,
Jorge Moll Filho & family,3900,Healthcare,78,Brazil,
Fernando Roberto Moreira Salles,3900,Diversified,76,Brazil,
Pedro Moreira Salles,3900,Diversified,63,Brazil,
Gabe Newell,3900,Gambling & Casinos,60,United States,Valve Corporation
Alfred Oetker,3900,Fashion & Retail,56,Germany,
Carl Ferdinand Oetker,3900,Fashion & Retail,50,Germany,
Julia Oetker,3900,Fashion & Retail,44,Germany,
Ruan Hongliang & family,3900,Manufacturing,62,China,
Mark Stevens,3900,Finance & Investments,63,United States,
Tsai Hong-tu,3900,Finance & Investments,70,Taiwan,
Nusli Wadia,3900,Food & Beverage,79,India,
Wu Yiling,3900,Healthcare,73,China,
Yu Renrong,3900,Manufacturing,57,China,
Zhu Baoguo & family,3900,Healthcare,60,China,
Rahul Bhatia,3800,Service,63,India,
Francesco Gaetano Caltagirone,3800,Construction & Engineering,80,Italy,
Barry Diller,3800,Media & Entertainment,81,United States,
Wesley Edens,3800,Finance & Investments,61,United States,
Stephen Feinberg,3800,Finance & Investments,63,United States,Cerberus Capital Management
Rakesh Gangwal,3800,Service,69,United States,
Joseph Grendys,3800,Food & Beverage,61,United States,
Martha Ingram & family,3800,Media & Entertainment,87,United States,"Ingram Industries, Inc."
Li Xiang,3800,Automotive,41,China,
"H. Ross Perot, Jr.",3800,Real Estate,64,United States,
Chandru Raheja,3800,Real Estate,82,India,
Trevor Rees-Jones,3800,Energy,71,United States,
Yasumitsu Shigeta,3800,Telecom,58,Japan,
Su Qingcan,3800,Healthcare,54,China,
Tsai Cheng-ta,3800,Finance & Investments,73,Taiwan,
Steven Udvar-Hazy,3800,Service,77,United States,Air Lease Corp.
Elizabeth Uihlein,3800,Manufacturing,77,United States,
Richard Uihlein,3800,Manufacturing,77,United States,
Hayes Barnard,3700,Finance & Investments,51,United States,
William Berkley,3700,Finance & Investments,76,United States,WR Berkley
Charles Cohen,3700,Real Estate,71,United States,
Yakir Gabay,3700,Real Estate,56,United Kingdom,
Huang Li,3700,Technology,59,China,
Brad Jacobs,3700,Logistics,66,United States,
Ji Qi,3700,Real Estate,56,China,
Jason Jiang,3700,Media & Entertainment,50,China,
Jim Kavanaugh,3700,Technology,60,United States,
Richard LeFrak & family,3700,Real Estate,77,United States,
Mikhail Lomtadze,3700,Finance & Investments,47,Kazakhstan,
Tom Morris,3700,Fashion & Retail,68,United Kingdom,
Shigenobu Nagamori,3700,Manufacturing,78,Japan,
Daniel Och,3700,Finance & Investments,62,United States,Och-Ziff Capital Management
Horst Paulmann & family,3700,Fashion & Retail,88,Chile,
Anthony Pritzker,3700,Service,62,United States,
John Sall,3700,Technology,75,United States,SAS Institute
Howard Schultz,3700,Food & Beverage,69,United States,
Richard Schulze,3700,Fashion & Retail,82,United States,Best Buy Co. Inc.
Yitzhak Tshuva,3700,Real Estate,74,Israel,
Wang Yanqing & family,3700,Manufacturing,56,China,
Rajiv Bajaj,3600,Diversified,56,India,
Sanjiv Bajaj,3600,Diversified,53,India,
Leonid Boguslavsky,3600,Finance & Investments,71,Italy,
Jim Coulter,3600,Finance & Investments,63,United States,
Nicolas D'Ieteren,3600,Automotive,47,Switzerland,
Beatriz Davila de Santo Domingo,3600,Food & Beverage,84,Bermuda,
Bob Gaglardi,3600,Real Estate,82,Canada,
Jaime Gilinski Bacal,3600,Finance & Investments,65,United Kingdom,
Pansy Ho,3600,Gambling & Casinos,60,Hong Kong,
Alan Howard,3600,Finance & Investments,59,Switzerland,Brevan Howard Asset Management
Huang Yi,3600,Automotive,61,China,
Peter Kellogg,3600,Finance & Investments,80,United States,
Vyacheslav Kim,3600,Finance & Investments,53,Kazakhstan,
Josh Kushner,3600,Finance & Investments,37,United States,Thrive Capital
Samuel Tak Lee,3600,Real Estate,83,Hong Kong,
Edwin Leong,3600,Real Estate,71,Hong Kong,
"Stephen Mandel, Jr.",3600,Finance & Investments,67,United States,Lone Pine Capital
Mohamed Mansour,3600,Diversified,75,United Kingdom,
Masahiro Miki,3600,Fashion & Retail,67,Japan,
Masahiro Noda,3600,Technology,84,Japan,
Cliff Obrecht,3600,Technology,37,Australia,
Melanie Perkins,3600,Technology,35,Australia,Canva
J.B. Pritzker,3600,Finance & Investments,58,United States,
Juan Roig,3600,Fashion & Retail,73,Spain,
Jerry Speyer & family,3600,Real Estate,82,United States,
Lawrence Stroll,3600,Fashion & Retail,63,Switzerland,
Tung Chee Chen,3600,Logistics,80,Hong Kong,
Wang Junlin,3600,Food & Beverage,60,China,
Xia Zuoquan,3600,Automotive,61,China,
Zeng Fangqin,3600,Technology,57,China,
Zhang Jian,3600,Manufacturing,54,China,
Rocco Basilico,3500,Fashion & Retail,33,United States,
Maurizio Billi,3500,Healthcare,65,Brazil,
Fashu Chen,3500,Finance & Investments,62,China,
Giuseppe Crippa & family,3500,Manufacturing,87,Italy,
Daniel D'Aniello,3500,Finance & Investments,76,United States,
Claudio Del Vecchio,3500,Fashion & Retail,66,United States,
Clemente Del Vecchio,3500,Fashion & Retail,18,Italy,
Leonardo Maria Del Vecchio,3500,Fashion & Retail,27,Italy,
Luca Del Vecchio,3500,Fashion & Retail,21,Italy,
Marisa Del Vecchio,3500,Fashion & Retail,64,Italy,
Paola Del Vecchio,3500,Fashion & Retail,61,Luxembourg,
Walter P.J. Droege,3500,Finance & Investments,70,Germany,
Fan Daidi,3500,Fashion & Retail,57,China,
Peter Gassner,3500,Technology,58,United States,
Mikhail Gutseriev,3500,Energy,65,Russia,
Patrick Lee,3500,Manufacturing,81,Hong Kong,
Leng Youbin,3500,Food & Beverage,54,China,
Daniel Loeb,3500,Finance & Investments,61,United States,Third Point
Margarita Louis-Dreyfus & family,3500,Food & Beverage,60,Switzerland,Louis Dreyfus SAS
Prasert Prasarttong-Osoth,3500,Healthcare,90,Thailand,
Ira Rennert,3500,Finance & Investments,88,United States,
Dirk Rossmann & family,3500,Fashion & Retail,76,Germany,
Arkady Rotenberg,3500,Construction & Engineering,71,Russia,
Remo Ruffini,3500,Fashion & Retail,61,Italy,
Karin Sartorius-Herbst,3500,Healthcare,,Germany,
Vivek Chaand Sehgal,3500,Automotive,66,India,
Scott Shleifer,3500,Finance & Investments,45,United States,Tiger Global Management
Thomas Siebel,3500,Technology,70,United States,
Wim van der Leegte & family,3500,Manufacturing,75,Netherlands,
Xiao Yongming & family,3500,Diversified,58,China,
Michael Xie,3500,Technology,54,United States,
Yang Shaopeng,3500,Logistics,65,China,
Nicoletta Zampillo,3500,Fashion & Retail,65,Monaco,
Barry Zekelman,3500,Manufacturing,56,Canada,
William Ackman,3400,Finance & Investments,56,United States,"Pershing Square Capital Management, L.P."
Somphote Ahunai,3400,Energy,55,Thailand,
Igor Altushkin,3400,Metals & Mining,52,Russia,
Ramon Ang,3400,Food & Beverage,69,Philippines,
Acharya Balkrishna,3400,Food & Beverage,50,India,
Markus Blocher,3400,Manufacturing,52,Switzerland,
Richard Branson,3400,Diversified,72,British Virgin Islands,
Cho Jung-ho,3400,Finance & Investments,64,South Korea,Meritz Financial Group
Alessandra Garavoglia,3400,Food & Beverage,63,Italy,
Laurence Graff & family,3400,Fashion & Retail,84,Switzerland,
"Amos Hostetter, Jr.",3400,Media & Entertainment,86,United States,Pilot House Associates
Robert Johnson,3400,Sports,75,United States,
Steven Klinsky,3400,Finance & Investments,66,United States,New Mountain Capital
William Lauder,3400,Fashion & Retail,62,United States,
John Middleton,3400,Food & Beverage,68,United States,
Hiroshi Mikitani,3400,Fashion & Retail,58,Japan,
Bob Parsons,3400,Technology,72,United States,
J. Joe Ricketts & family,3400,Finance & Investments,81,United States,
Herb Simon,3400,Real Estate,88,United States,Simon Property Group
Leena Tewari,3400,Healthcare,65,India,
Stefan von Holtzbrinck,3400,Media & Entertainment,59,Germany,
Hans Peter Wild,3400,Food & Beverage,81,Switzerland,
Wu Guanjiang & family,3400,Healthcare,54,China,
Yi Zheng,3400,Technology,52,China,
Eric Yuan & family,3400,Technology,53,United States,Zoom Video Communications
Charles Zegar,3400,Media & Entertainment,75,United States,
Mohed Altrad,3300,Construction & Engineering,75,France,
John Arnold,3300,Finance & Investments,49,United States,Centaurus Advisors
Bill Austin,3300,Manufacturing,81,United States,
Chen Shibin,3300,Manufacturing,56,China,
Bennett Dorrance,3300,Food & Beverage,77,United States,
Walter Faria,3300,Food & Beverage,68,Brazil,
Walter Frey,3300,Automotive,79,Switzerland,
Fu Liquan & family,3300,Technology,55,China,
John Gandel,3300,Real Estate,88,Australia,
Peter Gilgan,3300,Construction & Engineering,72,Canada,Mattamy Group Corp.
Kwek Leng Beng,3300,Diversified,82,Singapore,
Pablo Legorreta,3300,Finance & Investments,59,United States,
Arnon Milchan,3300,Media & Entertainment,78,Israel,
Akio Nitori,3300,Fashion & Retail,79,Japan,
Julio Ponce Lerou,3300,Metals & Mining,77,Chile,
Rodger Riney & family,3300,Finance & Investments,77,United States,"Scottrade, Inc."
Phil Ruffin,3300,Diversified,88,United States,
Naguib Sawiris,3300,Telecom,68,Egypt,
Neil Shen,3300,Finance & Investments,55,China,Sequoia China
Gil Shwed,3300,Technology,54,Israel,
Stephen Smith,3300,Finance & Investments,71,Canada,
Nik Storonsky,3300,Finance & Investments,38,United Kingdom,
Jeffrey Talpins,3300,Finance & Investments,48,United States,Element Capital Management
Carl Thoma,3300,Finance & Investments,74,United States,
Todd Wanek,3300,Manufacturing,59,United States,
Xue Hua,3300,Manufacturing,53,China,
Takao Yasuda,3300,Fashion & Retail,73,Singapore,
Karen Virginia Beckmann Legoretta,3200,Food & Beverage,53,,
Giuliana Benetton,3200,Fashion & Retail,85,Italy,
Luciano Benetton,3200,Fashion & Retail,87,Italy,
Arun Bharat Ram,3200,Manufacturing,82,India,
Ron Burkle,3200,Finance & Investments,70,United Kingdom,"The Yucaipa Companies, LLC"
Chen Kaixuan,3200,Manufacturing,64,China,
Brunello Cucinelli & family,3200,Fashion & Retail,69,Italy,
Antonio Del Valle Ruiz & family,3200,Manufacturing,84,Mexico,
Gustavo Denegri & family,3200,Healthcare,86,Italy,
Dong Jinggui,3200,Automotive,53,China,
Charles Ergen,3200,Media & Entertainment,70,United States,DISH Network
David Filo,3200,Technology,56,United States,Yahoo!
Lindsay Fox,3200,Logistics,85,Australia,
Sergei Galitsky,3200,Fashion & Retail,55,Russia,
Senapathy Gopalakrishnan,3200,Technology,67,India,
Luciano Hang,3200,Fashion & Retail,60,Brazil,
Michael Hintze,3200,Finance & Investments,69,United Kingdom,CQS LLP
Hu Baifan,3200,Healthcare,60,China,
Hamilton James & family,3200,Finance & Investments,71,United States,
Lee Boo-jin,3200,Technology,52,South Korea,
Li Liangbin,3200,Manufacturing,55,China,
Liang Feng,3200,Manufacturing,54,China,
Samir Mehta,3200,Healthcare,59,India,
Sudhir Mehta,3200,Healthcare,68,India,
Aristotelis Mistakidis,3200,Metals & Mining,61,Switzerland,
Geoffrey Palmer,3200,Real Estate,72,United States,
Roger Penske,3200,Automotive,86,United States,
Ravi Pillai,3200,Construction & Engineering,69,United Arab Emirates,
David Rubenstein,3200,Finance & Investments,73,United States,Carlyle Group
Hilton Schlosberg,3200,Food & Beverage,70,United States,
Klaus-Peter Schulenberg,3200,Service,71,Germany,
Lynn Schusterman & family,3200,Energy,84,United States,
Isabella Seràgnoli,3200,Manufacturing,77,Italy,
Shen Guojun,3200,Fashion & Retail,60,China,
Warren Stephens,3200,Finance & Investments,66,United States,
Pat Stryker,3200,Healthcare,66,United States,
Roman Trotsenko,3200,Logistics,52,Russia,
Harald Tschira,3200,Technology,48,Germany,
Udo Tschira,3200,Technology,53,Germany,
Vincent Viola,3200,Finance & Investments,67,United States,
Wu Shaoxun,3200,Food & Beverage,67,China,
Steve Wynn,3200,Gambling & Casinos,81,United States,Wynn Resorts
Jon Yarbrough,3200,Gambling & Casinos,65,United States,
Zhou Bajin,3200,Manufacturing,87,China,
Cho Tak Wong,3100,Manufacturing,76,China,
John Coates,3100,Gambling & Casinos,53,United Kingdom,
Ryan Cohen,3100,Finance & Investments,37,United States,
Deng Wen,3100,Food & Beverage,55,China,
Gurbachan Singh Dhingra,3100,Manufacturing,72,India,
Kuldip Singh Dhingra,3100,Manufacturing,75,India,
Martin Ebner,3100,Finance & Investments,77,Switzerland,
Charles Edelstenne,3100,Manufacturing,85,France,
Sergei Gordeev,3100,Real Estate,50,Russia,
Jeff T. Green,3100,Media & Entertainment,46,United States,
Reed Hastings,3100,Technology,62,United States,Netflix
Bertil Hult,3100,Service,82,Switzerland,
Miguel Krigsner,3100,Fashion & Retail,73,Brazil,
Kuok Khoon Hong,3100,Manufacturing,73,Singapore,
Aerin Lauder,3100,Fashion & Retail,52,United States,
Sheldon Lavin,3100,Food & Beverage,90,United States,
Yin Yee Lee,3100,Manufacturing,71,Hong Kong,
Vladimir Litvinenko & family,3100,Manufacturing,67,Russia,
Daniel Mate,3100,Metals & Mining,59,Switzerland,
Ravi Modi,3100,Fashion & Retail,46,India,
Farhad Moshiri,3100,Diversified,67,Monaco,
Jonathan Nelson,3100,Finance & Investments,66,United States,Providence Equity Partners
Or Wai Sheun,3100,Real Estate,71,Hong Kong,
Katharina Otto-Bernstein,3100,Real Estate,59,United States,
Sergei Popov,3100,Finance & Investments,51,Switzerland,
Penny Pritzker,3100,Finance & Investments,63,United States,Inspired Capital
Theodore Rachmat,3100,Diversified,79,Indonesia,
Renzo Rosso & family,3100,Fashion & Retail,67,Italy,
Friede Springer,3100,Media & Entertainment,80,Germany,
Rita Tong Liu,3100,Real Estate,74,Hong Kong,
Timur Turlov,3100,Finance & Investments,35,Kazakhstan,
Frank VanderSloot,3100,Fashion & Retail,74,United States,
Yoo Jung-hyun,3100,Media & Entertainment,53,South Korea,
Abdulla bin Ahmad Al Ghurair & family,3000,Diversified,,United Arab Emirates,
Semahat Sevim Arsel,3000,Diversified,94,Turkey,
Nicolas Berggruen,3000,Real Estate,61,United States,
George Bishop,3000,Energy,85,United States,
Norman Braman,3000,Automotive,90,United States,
Eva Maria Bucher-Haefner,3000,Technology,66,Switzerland,
Cai Dongchen,3000,Healthcare,70,China,
Jean-Pierre Cayard,3000,Food & Beverage,80,France,
Chan Tan Ching-fen,3000,Real Estate,,Hong Kong,
Todd Christopher,3000,Fashion & Retail,60,United States,
Mang Yee Chu & family,3000,Real Estate,63,China,
"William Conway, Jr.",3000,Finance & Investments,73,United States,Carlyle Group
Jean Coutu & family,3000,Fashion & Retail,95,Canada,Jean Coutu Group (PJC) Inc. (Cl A)
Catheline Perier D'Ieteren,3000,Automotive,78,,
"Edward DeBartolo, Jr.",3000,Real Estate,76,United States,
Stephen Deckoff,3000,Finance & Investments,57,United States,
Feng Hailiang,3000,Metals & Mining,62,China,
"Ernest Garcia, II.",3000,Automotive,65,United States,
Sam Goi,3000,Food & Beverage,76,Singapore,
Carlos Hank Rhon,3000,Diversified,75,Mexico,
Susan Carol Holland,3000,Manufacturing,66,Italy,
