personName,finalWorth,category,age,country,organization
Karl Albrecht Jr. & family,15800,Fashion & Retail,,Germany,
Beate Heister,15800,Fashion & Retail,,,
Jorge Paulo Lemann & family,15800,Food & Beverage,83,Switzerland,
Peter Woo,15800,Real Estate,76,Hong Kong,
Dilip Shanghvi,15600,Healthcare,67,India,
Robert Pera,15500,Technology,45,United States,Ubiquiti
Radhakishan Damani,15300,Fashion & Retail,68,India,
Huang Shilin,15200,Automotive,56,China,
Dhanin Chearavanont,14900,Diversified,83,Thailand,
David Green & family,14900,Fashion & Retail,81,United States,Hobby Lobby
Charoen Sirivadhanabhakdi,14800,Food & Beverage,78,Thailand,
Charlene de Carvalho-Heineken & family,14700,Food & Beverage,68,United Kingdom,
Xu Hang,14600,Healthcare,60,China,
Wei Jianjun & family,14500,Automotive,59,China,
Alisher Usmanov,14400,Metals & Mining,69,Uzbekistan,Metalloinvest
Goh Cheng Liang,14300,Manufacturing,95,Singapore,
Kumar Birla,14200,Diversified,55,India,
Aliko Dangote,14200,Manufacturing,65,Nigeria,Dangote Group
Kwong Siu-hing,14100,Real Estate,93,Hong Kong,
Idan Ofer,14000,Diversified,67,United Kingdom,
Chen Bang,13900,Healthcare,57,China,
Lui Che Woo,13900,Gambling & Casinos,94,Hong Kong,
John Fredriksen,13700,Logistics,78,United Kingdom,
Diane Hendricks,13700,Construction & Engineering,76,United States,ABC Supply
Jan Koum,13700,Technology,47,United States,WhatsApp Inc.
Jerry Jones,13300,Sports,80,United States,Dallas Cowboys
George Kaiser,13300,Energy,80,United States,BOK Financial Corp.
Joseph Lau,13300,Real Estate,71,Hong Kong,
Lu Xiangyang,13200,Automotive,60,China,
Harry Triguboff,13100,Real Estate,90,Australia,
Uday Kotak,12900,Finance & Investments,64,India,
Stanley Kroenke,12900,Sports,75,United States,
Mikhail Fridman,12600,Energy,58,United Kingdom,
Sarath Ratanavadi,12300,Energy,57,Thailand,
Dang Yanbao,12200,Metals & Mining,50,China,
Jiang Rensheng & family,12200,Healthcare,69,China,
Shahid Khan,12100,Automotive,72,United States,
Laurene Powell Jobs & family,12000,Technology,59,United States,Emerson Collective
Robert Kuok,11800,Diversified,99,Hong Kong,
Stephen Ross,11600,Real Estate,82,United States,
Pavel Durov,11500,Technology,38,United Arab Emirates,
Andreas Struengmann & family,11500,Healthcare,73,Germany,
Thomas Struengmann & family,11500,Healthcare,73,Germany,
Liu Hanyuan,11400,Food & Beverage,59,China,
Michael Rubin,11400,Fashion & Retail,50,United States,Kynetic
Israel Englander,11300,Finance & Investments,74,United States,"Millennium Management, L.L.C."
Viatcheslav Kantor,11300,Manufacturing,69,Israel,
Anthony Pratt,11300,Manufacturing,62,Australia,
Mikhail Prokhorov,11300,Finance & Investments,57,Switzerland,
Giorgio Armani,11100,Fashion & Retail,88,Italy,
Johann Rupert & family,11100,Fashion & Retail,72,South Africa,
Gong Hongjia & family,11000,Finance & Investments,58,Hong Kong,
Zhang Zhidong,11000,Technology,51,China,
Philip Anschutz,10900,Finance & Investments,83,United States,
Judy Love & family,10900,Fashion & Retail,85,United States,Love's Travel Stops and Country Stores
Ricardo Salinas Pliego & family,10900,Fashion & Retail,67,Mexico,
Donald Newhouse,10700,Media & Entertainment,93,United States,
Robert Kraft,10600,Sports,81,United States,The Kraft Group
Marcel Herrmann Telles,10600,Food & Beverage,73,Brazil,
Suleiman Kerimov & family,10500,Finance & Investments,57,Russia,
Sky Xu,10500,Fashion & Retail,39,China,
Changpeng Zhao,10500,Finance & Investments,45,United Arab Emirates,
Andrew Beal,10300,Finance & Investments,70,United States,
Mike Cannon-Brookes,10200,Technology,43,Australia,
Carl Cook,10200,Healthcare,60,United States,
David Duffield,10200,Technology,82,United States,Workday
Jeffery Hildebrand,10200,Energy,64,United States,
Viktor Rashnikov,10200,Manufacturing,74,Russia,
Eduardo Saverin,10200,Technology,41,Singapore,Meta Platforms
Georg Schaeffler,10200,Automotive,58,Germany,
Christy Walton,10200,Fashion & Retail,74,United States,
Scott Farquhar,10100,Technology,43,Australia,
Quek Leng Chan,10100,Diversified,81,Malaysia,
Wu Yajun,10100,Real Estate,59,China,
Autry Stephens,10000,Energy,85,United States,
Liu Yongxing,9900,Service,74,China,East Hope Group
Vinod Adani,9800,Diversified,74,United Arab Emirates,
Nicolas Puech,9800,Fashion & Retail,80,Switzerland,
"Jacques Saadé, Jr.",9800,Logistics,51,France,
Rodolphe Saadé,9800,Logistics,53,France,CMA CGM
Tanya Saadé Zeenny,9800,Logistics,55,France,
Melker Schorling & family,9800,Finance & Investments,75,Sweden,
Andrei Guriev & family,9700,Manufacturing,63,Russia,
Michael Kim,9700,Finance & Investments,59,South Korea,MBK Partners
Lei Jun,9700,Technology,53,China,Xiaomi
Friedhelm Loh,9700,Manufacturing,76,Germany,
Sun Piaoyang,9700,Healthcare,64,China,
Rick Cohen & family,9600,Technology,70,United States,C&S Wholesale Grocers
Jin Baofang,9600,Energy,70,China,
Luo Liguo & family,9600,Manufacturing,67,China,
Marijke Mars,9600,Food & Beverage,58,United States,
Pamela Mars,9600,Food & Beverage,62,United States,
Valerie Mars,9600,Food & Beverage,64,United States,
Victoria Mars,9600,Food & Beverage,66,United States,
Vincent Bolloré & family,9500,Finance & Investments,71,France,
Jim Pattison,9500,Diversified,94,Canada,Jim Pattison Group
Ernesto Bertarelli,9400,Healthcare,57,Switzerland,
Wang Xing,9400,Technology,44,China,
Brian Chesky,9300,Technology,41,United States,"Airbnb, Inc."
James Dyson,9300,Manufacturing,75,United Kingdom,
Roman Abramovich & family,9200,Diversified,56,Russia,
Antonia Ax:son Johnson & family,9200,Diversified,79,Sweden,
Daniel Kretinsky,9200,Energy,47,Czech Republic,
John Malone,9200,Media & Entertainment,82,United States,
Azim Premji,9200,Technology,77,India,Wipro Ltd.
Charles Schwab,9200,Finance & Investments,85,United States,Charles Schwab Corp.
Eric Smidt,9200,Fashion & Retail,63,United States,
David Cheriton,9000,Technology,72,United States,Stanford University
Ivan Glasenberg,9000,Metals & Mining,66,Switzerland,
Alexander Otto,9000,Real Estate,55,Germany,
Anthony von Mandl,9000,Food & Beverage,73,Canada,
Wang Liping & family,9000,Manufacturing,57,China,
Finn Rausing,8900,Food & Beverage,68,United Kingdom,
Jorn Rausing,8900,Food & Beverage,63,United Kingdom,
Kirsten Rausing,8900,Food & Beverage,70,United Kingdom,
Tatyana Bakalchuk,8800,Fashion & Retail,47,Russia,
John Doerr,8800,Technology,71,United States,Kleiner Perkins
Richard Liu,8800,Technology,49,China,
Dustin Moskovitz,8800,Technology,38,United States,Asana
Pierre Omidyar,8800,Technology,55,United States,eBay
Pei Zhenhua,8800,Energy,64,China,
